run_id,reward,exploration,architecture,seed,episodes,seconds,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return
reward=sparse__explore=epsilon__net=dueling__seed=0,sparse,epsilon,dueling,0,20,20.255162954330444,1.0,0.4,0.4,0.2,272.6,1.0
reward=sparse__explore=epsilon__net=dueling__seed=1,sparse,epsilon,dueling,1,20,20.520585536956787,1.5,0.4,0.3,0.1,292.7,1.5
reward=sparse__explore=epsilon__net=dueling__seed=2,sparse,epsilon,dueling,2,20,20.44773554801941,-1.0,0.1,0.1,0.3,269.5,-1.0
reward=sparse__explore=softmax__net=dueling__seed=0,sparse,softmax,dueling,0,20,20.330774545669556,1.5,0.3,0.2,0.0,300.0,1.5
reward=sparse__explore=softmax__net=dueling__seed=1,sparse,softmax,dueling,1,20,21.438754558563232,0.0,0.1,0.1,0.1,275.3,0.0
reward=sparse__explore=softmax__net=dueling__seed=2,sparse,softmax,dueling,2,20,19.703999757766724,2.5,0.6,0.4,0.1,289.8,2.5
reward=sparse__explore=dynamic_softmax__net=dueling__seed=0,sparse,dynamic_softmax,dueling,0,20,18.698498487472534,1.0,0.4,0.3,0.2,275.0,1.0
reward=sparse__explore=dynamic_softmax__net=dueling__seed=1,sparse,dynamic_softmax,dueling,1,20,19.411746740341187,-0.5,0.0,0.0,0.1,285.9,-0.5
reward=sparse__explore=dynamic_softmax__net=dueling__seed=2,sparse,dynamic_softmax,dueling,2,20,19.86741805076599,2.0,0.6,0.4,0.2,271.2,2.0
reward=full__explore=epsilon__net=dueling__seed=0,full,epsilon,dueling,0,20,19.864617824554443,0.5,0.2,0.2,0.1,274.6,6.495457461319129
reward=full__explore=epsilon__net=dueling__seed=1,full,epsilon,dueling,1,20,19.818148136138916,0.0,0.1,0.1,0.1,279.9,4.586132051918457
reward=full__explore=epsilon__net=dueling__seed=2,full,epsilon,dueling,2,20,17.05259418487549,0.5,0.3,0.2,0.2,283.6,3.323424256069617
reward=full__explore=softmax__net=dueling__seed=0,full,softmax,dueling,0,20,20.327717304229736,1.0,0.6,0.5,0.4,255.6,3.4011248541107606
reward=full__explore=softmax__net=dueling__seed=1,full,softmax,dueling,1,20,20.871994972229004,2.0,0.4,0.3,0.0,300.0,-4.683647053625802
reward=full__explore=softmax__net=dueling__seed=2,full,softmax,dueling,2,20,19.27588152885437,0.5,0.2,0.2,0.1,289.6,-4.11299474940118
reward=full__explore=dynamic_softmax__net=dueling__seed=0,full,dynamic_softmax,dueling,0,20,20.050261735916138,0.0,0.2,0.2,0.2,289.2,5.518434244599454
reward=full__explore=dynamic_softmax__net=dueling__seed=1,full,dynamic_softmax,dueling,1,20,20.91599154472351,0.0,0.3,0.2,0.3,264.8,-6.32610095925817
reward=full__explore=dynamic_softmax__net=dueling__seed=2,full,dynamic_softmax,dueling,2,20,20.272204875946045,1.0,0.4,0.4,0.2,274.9,1.4021656267701506
