episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,1189033389,-5.0,0.0,0.0,1.0,183,-2.9255238607916234,0.0
1,1639030180,0.0,0.0,0.0,0.0,500,21.53429383225481,1.0
2,3005640382,-5.0,0.0,0.0,1.0,196,-0.06443452000812844,0.0
3,939475935,-5.0,0.0,0.0,1.0,71,-3.82415289526221,0.0
4,1984606777,-5.0,0.0,0.0,1.0,312,-0.10235350226513873,0.0
5,742229531,-5.0,0.0,0.0,1.0,173,-22.287088941638164,0.0
6,81123551,-5.0,0.0,0.0,1.0,164,-8.608451409504442,0.0
7,706327611,0.0,0.0,0.0,0.0,500,17.81697971987842,1.0
8,1258465162,-5.0,0.0,0.0,1.0,88,-8.738582238445023,0.0
9,3930499038,5.0,1.0,1.0,0.0,500,22.023571738786348,1.0
10,1545592727,-5.0,0.0,0.0,1.0,452,-8.974878708463425,0.0
11,1666669218,5.0,1.0,1.0,0.0,500,10.353451807571165,1.0
12,3074386683,0.0,0.0,0.0,0.0,500,17.11081728140109,1.0
13,1811204608,-5.0,0.0,0.0,1.0,259,2.645938028195218,0.0
14,1539034865,0.0,0.0,0.0,0.0,500,1.0252238067225465,1.0
15,2733823799,0.0,0.0,0.0,0.0,500,9.110629927522728,1.0
16,2449560588,0.0,0.0,0.0,0.0,500,12.048273785792272,1.0
17,4286508491,0.0,0.0,0.0,0.0,500,18.05741817716972,1.0
18,2458248346,5.0,1.0,1.0,0.0,500,3.669080796469229,1.0
19,1620665087,0.0,1.0,1.0,1.0,401,1.1177150553180617,0.0
20,1594540852,0.0,0.0,0.0,0.0,500,-10.658994523168058,1.0
21,3595294037,5.0,1.0,1.0,0.0,500,3.931459209097501,1.0
22,1939378637,0.0,0.0,0.0,0.0,500,-10.650724971528517,1.0
23,2192155034,0.0,0.0,0.0,0.0,500,8.162913597974175,1.0
24,1246709789,0.0,0.0,0.0,0.0,500,-15.807728477218935,1.0
25,2888424360,0.0,0.0,0.0,0.0,500,7.59742719902438,1.0
26,479006231,0.0,0.0,0.0,0.0,500,5.925451853590341,1.0
27,1569573189,0.0,0.0,0.0,0.0,500,-2.6974351974487347,1.0
28,1641297886,-5.0,0.0,0.0,1.0,420,3.2468079606413216,0.0
29,3459203923,-5.0,0.0,0.0,1.0,188,-5.892313360740044,0.0
30,1484099884,-5.0,0.0,0.0,1.0,447,5.916269963938875,0.0
31,4091723856,0.0,0.0,0.0,0.0,500,-20.248574497827104,1.0
32,2123492900,5.0,1.0,1.0,0.0,500,26.471648973153766,1.0
33,4217365653,0.0,0.0,0.0,0.0,500,-20.935549352579688,1.0
34,3803767847,5.0,1.0,1.0,0.0,500,19.81479746026454,1.0
35,4100219838,0.0,0.0,0.0,0.0,500,9.709002417931147,1.0
36,3328463484,0.0,0.0,0.0,0.0,500,8.325523991338757,1.0
37,2792094005,-5.0,0.0,0.0,1.0,449,-13.786666782450954,0.0
38,2826154839,5.0,1.0,1.0,0.0,500,24.725209251315707,1.0
39,343165928,0.0,0.0,0.0,0.0,500,11.441095692364806,1.0
40,2088638695,0.0,0.0,0.0,0.0,500,9.801464523198288,1.0
41,1754753333,-5.0,0.0,0.0,1.0,74,-7.101412071714083,0.0
42,702906607,5.0,1.0,1.0,0.0,500,19.470649209860564,1.0
43,2003130368,0.0,0.0,0.0,0.0,500,13.741251609993633,1.0
44,846558820,0.0,1.0,1.0,1.0,497,-8.53918450047625,0.0
45,4204122003,0.0,0.0,0.0,0.0,500,9.833189770979043,1.0
46,2102969800,0.0,0.0,0.0,0.0,500,-7.639656469250413,1.0
47,1727477033,-5.0,0.0,0.0,1.0,303,-22.16667941827494,0.0
48,3403734155,0.0,0.0,0.0,0.0,500,4.535814558901805,1.0
49,2208205223,0.0,0.0,0.0,0.0,500,4.670625768895438,1.0
