episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,500,500,22.64913401224223,0.0,0.0,0.0,1.0,0,0.005255587864667177,0.899912
1,1000,500,-4.356573974486371,0.0,0.0,0.0,1.0,0,0.0006259571687260177,0.855912
2,1500,500,19.141238960010785,0.0,0.0,0.0,1.0,0,0.0004256555143656442,0.811912
3,2000,500,1.5289458101981446,0.0,0.0,0.0,1.0,0,0.0004856223772803787,0.767912
4,2500,500,11.931655402801885,5.0,1.0,0.0,1.0,0,0.0004998199646361172,0.723912
5,3000,500,32.08063150106505,10.0,2.0,0.0,1.0,0,0.0011623424319841434,0.6799120000000001
6,3500,500,9.675078105153812,0.0,0.0,0.0,1.0,0,0.0035391224076447543,0.635912
7,4000,500,2.00936589876956,0.0,0.0,0.0,1.0,0,0.004674361364304786,0.591912
8,4290,290,-7.480988122228762,-5.0,0.0,1.0,0.0,0,0.004159334901788529,0.566392
9,4790,500,18.152876845109528,5.0,1.0,0.0,1.0,0,0.005413172790140379,0.522392
10,5290,500,-20.648781329011136,0.0,0.0,0.0,1.0,0,0.005463243358448381,0.478392
11,5790,500,14.170365895109084,5.0,1.0,0.0,1.0,0,0.0040563799504307095,0.434392
12,5960,170,-6.757696912752195,-5.0,0.0,1.0,0.0,0,0.004473227534018566,0.41943199999999997
13,6460,500,19.89160868360582,10.0,2.0,0.0,1.0,0,0.00668131933544646,0.3754320000000001
14,6960,500,-10.583677511775237,0.0,0.0,0.0,1.0,0,0.0072315021447720935,0.33143200000000006
15,7409,449,-8.492236537291618,0.0,1.0,1.0,0.0,0,0.006601415941881157,0.29192000000000007
16,7909,500,14.842945447314237,0.0,0.0,0.0,1.0,0,0.008664613587956409,0.24792000000000003
17,8005,96,-5.584499258315966,-5.0,0.0,1.0,0.0,0,0.009473048926641544,0.23947200000000002
18,8449,444,-0.9249677441528643,-5.0,0.0,1.0,0.0,0,0.007463542280298121,0.20040000000000002
19,8949,500,37.34006346670998,15.0,3.0,0.0,1.0,0,0.010184658499551006,0.1564000000000001
20,9449,500,12.05799692383081,5.0,1.0,0.0,1.0,0,0.007061264514748472,0.11240000000000006
21,9949,500,-12.284559536408132,0.0,0.0,0.0,1.0,0,0.009488478221057448,0.06840000000000002
22,10449,500,9.273249659512897,0.0,0.0,0.0,1.0,0,0.009162279472104273,0.024399999999999977
23,10754,305,-6.787568147864983,-5.0,0.0,1.0,0.0,0,0.006916525524079067,0.020000000000000018
24,11254,500,13.16588345757938,0.0,0.0,0.0,1.0,0,0.00899687366600847,0.020000000000000018
25,11501,247,-7.129073373379763,-5.0,0.0,1.0,0.0,0,0.009514097374843185,0.020000000000000018
26,12001,500,11.584888341676688,0.0,0.0,0.0,1.0,0,0.01054832601256203,0.020000000000000018
27,12501,500,14.175422874494856,0.0,0.0,0.0,1.0,0,0.008583031769143417,0.020000000000000018
28,13001,500,13.426225066913677,0.0,0.0,0.0,1.0,0,0.009225137003348208,0.020000000000000018
29,13399,398,-3.9988963235064503,-5.0,0.0,1.0,0.0,0,0.008602958319833895,0.020000000000000018
30,13591,192,-13.668201724677623,-5.0,0.0,1.0,0.0,0,0.007881938034188352,0.020000000000000018
31,14091,500,22.67863645005549,0.0,0.0,0.0,1.0,0,0.008259864327614195,0.020000000000000018
32,14591,500,15.082619718987967,0.0,0.0,0.0,1.0,0,0.009161054783966392,0.020000000000000018
33,15000,409,12.708565345563072,0.0,0.0,0.0,0.0,1,0.007553133660555113,0.020000000000000018
