episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,176,176,-5.0,-5.0,0.0,1.0,0.0,0,,0.9
1,676,500,5.0,5.0,1.0,0.0,1.0,0,0.01893116459631924,0.884424
2,1172,496,-5.0,-5.0,0.0,1.0,0.0,0,0.009011093738455466,0.840776
3,1672,500,5.0,5.0,1.0,0.0,1.0,0,0.01086427911658393,0.796776
4,2172,500,5.0,5.0,1.0,0.0,1.0,0,0.008599007756565698,0.752776
5,2333,161,-5.0,-5.0,0.0,1.0,0.0,0,0.014286145755103015,0.738608
6,2474,141,-5.0,-5.0,0.0,1.0,0.0,0,0.011025686849260386,0.7262
7,2974,500,0.0,0.0,0.0,0.0,1.0,0,0.011137628662858333,0.6822
8,3474,500,10.0,10.0,2.0,0.0,1.0,0,0.011383659779734445,0.6382000000000001
9,3917,443,-5.0,-5.0,0.0,1.0,0.0,0,0.010782652931211447,0.599216
10,4417,500,0.0,0.0,0.0,0.0,1.0,0,0.011455069668874785,0.555216
11,4878,461,-5.0,-5.0,0.0,1.0,0.0,0,0.010090970147282155,0.514648
12,5378,500,0.0,0.0,0.0,0.0,1.0,0,0.009914024320758472,0.470648
13,5878,500,0.0,0.0,0.0,0.0,1.0,0,0.008088689371325017,0.42664799999999997
14,6378,500,0.0,0.0,0.0,0.0,1.0,0,0.008924399491719668,0.382648
15,6878,500,10.0,10.0,2.0,0.0,1.0,0,0.007336613582945574,0.33864799999999995
16,7378,500,0.0,0.0,0.0,0.0,1.0,0,0.00654150075252619,0.294648
17,7878,500,0.0,0.0,0.0,0.0,1.0,0,0.0073652329386968635,0.250648
18,8378,500,0.0,0.0,0.0,0.0,1.0,0,0.006901264956853993,0.20664799999999994
19,8504,126,-5.0,-5.0,0.0,1.0,0.0,0,0.007790717678333402,0.19556000000000007
20,9004,500,0.0,0.0,0.0,0.0,1.0,0,0.005250549946562387,0.15156000000000003
21,9504,500,0.0,0.0,0.0,0.0,1.0,0,0.005677803122514888,0.1075600000000001
22,10004,500,0.0,0.0,0.0,0.0,1.0,0,0.007051327119217603,0.06356000000000006
23,10504,500,5.0,5.0,1.0,0.0,1.0,0,0.006582346795901685,0.020000000000000018
24,11004,500,0.0,0.0,0.0,0.0,1.0,0,0.006890680818483815,0.020000000000000018
25,11504,500,0.0,0.0,0.0,0.0,1.0,0,0.007274528111658583,0.020000000000000018
26,12004,500,0.0,0.0,0.0,0.0,1.0,0,0.00539780585126573,0.020000000000000018
27,12504,500,0.0,0.0,0.0,0.0,1.0,0,0.004127959240195196,0.020000000000000018
28,13004,500,0.0,0.0,0.0,0.0,1.0,0,0.00535876969108358,0.020000000000000018
29,13504,500,0.0,0.0,0.0,0.0,1.0,0,0.005496975137408299,0.020000000000000018
30,13648,144,-5.0,-5.0,0.0,1.0,0.0,0,0.004828223350222692,0.020000000000000018
31,14148,500,0.0,0.0,0.0,0.0,1.0,0,0.00509201284165465,0.020000000000000018
32,14624,476,-5.0,-5.0,0.0,1.0,0.0,0,0.006014721719424904,0.020000000000000018
33,15000,376,0.0,0.0,0.0,0.0,0.0,1,0.0056526336241675265,0.020000000000000018
